"date","station","NO2","SO2","O3","RSP","FSP"
"2020/07/10 01:00:00","North",13,6,28,12,6
"2020/07/10 02:00:00","North",13,6,28,12,6
"2020/07/10 03:00:00","North",13,6,28,12,6
"2020/07/10 04:00:00","North",13,6,28,12,6
"2020/07/10 05:00:00","North",13,6,28,12,6
"2020/07/10 06:00:00","North",13,6,28,12,6
"2020/07/10 07:00:00","North",13,6,28,12,6
"2020/07/10 08:00:00","North",13,6,28,12,6
"2020/07/10 09:00:00","North",13,6,28,12,6
"2020/07/10 10:00:00","North",13,6,28,12,6
"2020/07/10 11:00:00","North",13,6,31,15,7
"2020/07/10 12:00:00","North",11,6,41,16,9
"2020/07/10 13:00:00","North",11,6,45,16,9
"2020/07/10 14:00:00","North",17,6,34,13,4
"2020/07/10 15:00:00","North",12,6,36,11,3
"2020/07/10 16:00:00","North",12,6,34,7,3
"2020/07/10 17:00:00","North",14,6,32,9,4
"2020/07/10 18:00:00","North",16,6,27,11,5
"2020/07/10 19:00:00","North",19,6,20,15,5
"2020/07/10 20:00:00","North",24,5,15,18,9
"2020/07/10 21:00:00","North",18,5,17,14,9
"2020/07/10 22:00:00","North",16,6,19,16,10
"2020/07/10 23:00:00","North",19,6,20,18,9
"2020/07/11 00:00:00","North",18,6,22,17,9
"2020/07/11 01:00:00","North",13,6,26,15,9
"2020/07/11 02:00:00","North",9,5,30,15,7
"2020/07/11 03:00:00","North",7,5,33,13,7
"2020/07/11 04:00:00","North",6,5,33,11,8
"2020/07/11 05:00:00","North",7,6,32,11,5
"2020/07/11 06:00:00","North",13,6,27,9,3
"2020/07/11 07:00:00","North",19,7,24,8,3
"2020/07/11 08:00:00","North",15,6,28,9,5
"2020/07/11 09:00:00","North",13,6,32,11,5
"2020/07/11 10:00:00","North",15,7,35,12,5
"2020/07/11 11:00:00","North",14,7,39,14,5
"2020/07/11 12:00:00","North",10,6,47,14,6
"2020/07/11 13:00:00","North",10,6,52,14,6
"2020/07/11 14:00:00","North",12,6,50,13,6
"2020/07/11 15:00:00","North",12,6,47,15,6
"2020/07/11 16:00:00","North",16,6,40,13,4
"2020/07/11 17:00:00","North",16,6,35,7,5
"2020/07/11 18:00:00","North",18,7,30,10,7
"2020/07/11 19:00:00","North",18,6,28,8,5
"2020/07/11 20:00:00","North",16,6,28,9,3
"2020/07/11 21:00:00","North",21,7,21,13,5
"2020/07/11 22:00:00","North",17,6,22,10,7
"2020/07/11 23:00:00","North",17,6,20,11,6
"2020/07/12 00:00:00","North",15,6,21,13,6
"2020/07/12 01:00:00","North",13,6,25,10,6
"2020/07/12 02:00:00","North",11,6,27,9,2
"2020/07/12 03:00:00","North",8,6,32,10,4
"2020/07/12 04:00:00","North",10,6,32,5,5
"2020/07/12 05:00:00","North",15,7,26,7,7
"2020/07/12 06:00:00","North",16,7,25,12,8
"2020/07/12 07:00:00","North",10,7,31,8,4
"2020/07/12 08:00:00","North",8,7,32,7,3
"2020/07/12 09:00:00","North",7,7,36,8,5
"2020/07/12 10:00:00","North",6,7,43,9,7
"2020/07/12 11:00:00","North",6,7,50,7,6
"2020/07/12 12:00:00","North",8,7,52,6,3
"2020/07/12 13:00:00","North",7,7,54,5,3
"2020/07/12 14:00:00","North",14,8,61,9,6
"2020/07/12 15:00:00","North",8,7,73,16,6
"2020/07/12 16:00:00","North",10,7,69,11,5
"2020/07/12 17:00:00","North",8,7,56,7,3
"2020/07/12 18:00:00","North",9,7,43,7,3
"2020/07/12 19:00:00","North",18,8,29,4,2
"2020/07/12 20:00:00","North",33,9,9,6,5
"2020/07/12 21:00:00","North",35,11,3,12,8
"2020/07/12 22:00:00","North",32,10,4,13,11
"2020/07/12 23:00:00","North",33,9,4,11,9
"2020/07/13 00:00:00","North",33,9,4,8,5
"2020/07/13 01:00:00","North",30,8,5,8,4
"2020/07/13 02:00:00","North",19,7,16,8,5
"2020/07/13 03:00:00","North",19,7,12,9,4
"2020/07/13 04:00:00","North",14,7,14,8,2
"2020/07/13 05:00:00","North",22,7,5,7,2
"2020/07/13 06:00:00","North",22,7,6,6,3
"2020/07/13 07:00:00","North",22,7,6,9,7
"2020/07/13 08:00:00","North",22,8,18,13,10
"2020/07/13 09:00:00","North",12,8,33,11,9
"2020/07/13 10:00:00","North",16,8,34,8,5
"2020/07/13 11:00:00","North",19,13,33,8,3
"2020/07/13 12:00:00","North",20,16,44,14,7
