"date","station","NO2","SO2","O3","RSP","FSP"
"2020/07/10 01:00:00","Southern",20,3,22,21,8
"2020/07/10 02:00:00","Southern",20,3,22,21,8
"2020/07/10 03:00:00","Southern",20,3,22,21,8
"2020/07/10 04:00:00","Southern",20,3,22,21,8
"2020/07/10 05:00:00","Southern",20,3,22,21,8
"2020/07/10 06:00:00","Southern",20,3,22,21,8
"2020/07/10 07:00:00","Southern",20,3,22,21,8
"2020/07/10 08:00:00","Southern",20,3,22,21,8
"2020/07/10 09:00:00","Southern",20,3,22,21,8
"2020/07/10 10:00:00","Southern",20,3,22,21,8
"2020/07/10 11:00:00","Southern",19,3,29,23,9
"2020/07/10 12:00:00","Southern",14,3,35,23,8
"2020/07/10 13:00:00","Southern",14,2,38,19,5
"2020/07/10 14:00:00","Southern",13,2,33,20,4
"2020/07/10 15:00:00","Southern",10,2,35,21,7
"2020/07/10 16:00:00","Southern",17,3,36,20,5
"2020/07/10 17:00:00","Southern",17,3,35,17,4
"2020/07/10 18:00:00","Southern",23,3,24,20,8
"2020/07/10 19:00:00","Southern",31,4,14,22,12
"2020/07/10 20:00:00","Southern",23,3,15,21,15
"2020/07/10 21:00:00","Southern",25,3,13,17,14
"2020/07/10 22:00:00","Southern",31,5,9,18,14
"2020/07/10 23:00:00","Southern",40,6,5,24,12
"2020/07/11 00:00:00","Southern",35,6,9,29,12
"2020/07/11 01:00:00","Southern",25,4,15,25,9
"2020/07/11 02:00:00","Southern",11,2,29,19,4
"2020/07/11 03:00:00","Southern",19,3,18,17,3
"2020/07/11 04:00:00","Southern",15,3,20,21,10
"2020/07/11 05:00:00","Southern",21,3,17,23,14
"2020/07/11 06:00:00","Southern",28,4,12,20,8
"2020/07/11 07:00:00","Southern",20,3,19,19,5
"2020/07/11 08:00:00","Southern",24,3,16,18,4
"2020/07/11 09:00:00","Southern",20,3,24,21,8
"2020/07/11 10:00:00","Southern",25,4,29,21,6
"2020/07/11 11:00:00","Southern",30,3,34,22,9
"2020/07/11 12:00:00","Southern",31,3,33,22,11
"2020/07/11 13:00:00","Southern",32,3,35,23,12
"2020/07/11 14:00:00","Southern",29,2,33,21,11
"2020/07/11 15:00:00","Southern",24,3,41,17,8
"2020/07/11 16:00:00","Southern",25,2,36,17,7
"2020/07/11 17:00:00","Southern",22,3,38,18,5
"2020/07/11 18:00:00","Southern",33,2,29,14,4
"2020/07/11 19:00:00","Southern",35,2,19,16,4
"2020/07/11 20:00:00","Southern",39,3,15,15,8
"2020/07/11 21:00:00","Southern",24,2,19,11,6
"2020/07/11 22:00:00","Southern",30,3,12,11,3
"2020/07/11 23:00:00","Southern",35,3,13,16,6
"2020/07/12 00:00:00","Southern",22,2,26,18,7
"2020/07/12 01:00:00","Southern",20,2,29,18,5
"2020/07/12 02:00:00","Southern",26,3,25,17,8
"2020/07/12 03:00:00","Southern",42,4,11,15,12
"2020/07/12 04:00:00","Southern",28,4,23,15,13
"2020/07/12 05:00:00","Southern",23,2,27,15,9
"2020/07/12 06:00:00","Southern",21,1,25,16,6
"2020/07/12 07:00:00","Southern",24,1,22,18,7
"2020/07/12 08:00:00","Southern",22,3,23,16,6
"2020/07/12 09:00:00","Southern",36,5,18,16,5
"2020/07/12 10:00:00","Southern",14,3,40,18,8
"2020/07/12 11:00:00","Southern",15,2,44,15,9
"2020/07/12 12:00:00","Southern",27,2,35,11,7
"2020/07/12 13:00:00","Southern",34,4,35,12,6
"2020/07/12 14:00:00","Southern",30,3,36,14,7
"2020/07/12 15:00:00","Southern",26,2,37,14,9
"2020/07/12 16:00:00","Southern",25,3,42,8,6
"2020/07/12 17:00:00","Southern",23,3,38,11,5
"2020/07/12 18:00:00","Southern",31,3,26,14,3
"2020/07/12 19:00:00","Southern",42,4,15,16,4
"2020/07/12 20:00:00","Southern",46,4,11,20,9
"2020/07/12 21:00:00","Southern",48,5,4,16,9
"2020/07/12 22:00:00","Southern",42,5,8,10,5
"2020/07/12 23:00:00","Southern",38,6,13,11,3
"2020/07/13 00:00:00","Southern",37,6,18,11,7
"2020/07/13 01:00:00","Southern",40,5,11,10,6
"2020/07/13 02:00:00","Southern",27,4,18,11,4
"2020/07/13 03:00:00","Southern",17,3,21,11,5
"2020/07/13 04:00:00","Southern",30,3,12,9,5
"2020/07/13 05:00:00","Southern",35,3,10,9,7
"2020/07/13 06:00:00","Southern",35,5,6,9,7
"2020/07/13 07:00:00","Southern",35,7,4,9,4
"2020/07/13 08:00:00","Southern",38,6,11,11,5
"2020/07/13 09:00:00","Southern",34,6,17,16,7
"2020/07/13 10:00:00","Southern",32,6,19,18,7
"2020/07/13 11:00:00","Southern",29,7,24,13,4
"2020/07/13 12:00:00","Southern",29,5,33,10,4
"2020/07/13 13:00:00","Southern",24,4,47,10,6
"2020/07/13 14:00:00","Southern",22,3,51,10,4
"2020/07/13 15:00:00","Southern",18,3,52,15,3
"2020/07/13 16:00:00","Southern",17,3,45,19,4
"2020/07/13 17:00:00","Southern",22,3,40,18,9
"2020/07/13 18:00:00","Southern",21,2,31,14,8
"2020/07/13 19:00:00","Southern",31,2,26,10,4
"2020/07/13 20:00:00","Southern",28,3,24,12,5
"2020/07/13 21:00:00","Southern",37,4,13,18,7
"2020/07/13 22:00:00","Southern",24,3,17,14,7
"2020/07/13 23:00:00","Southern",32,3,9,8,6
"2020/07/14 00:00:00","Southern",34,4,11,9,4
"2020/07/14 01:00:00","Southern",29,4,13,15,6
"2020/07/14 02:00:00","Southern",28,4,13,14,4
"2020/07/14 03:00:00","Southern",22,4,18,8,3
"2020/07/14 04:00:00","Southern",22,3,18,4,5
"2020/07/14 05:00:00","Southern",21,2,19,4,5
"2020/07/14 06:00:00","Southern",27,3,13,11,5
"2020/07/14 07:00:00","Southern",29,3,12,12,3
"2020/07/14 08:00:00","Southern",29,8,15,11,4
"2020/07/14 09:00:00","Southern",31,9,20,11,6
"2020/07/14 10:00:00","Southern",32,7,21,11,5
"2020/07/14 11:00:00","Southern",30,7,31,12,6
"2020/07/14 12:00:00","Southern",31,7,50,14,6
"2020/07/14 13:00:00","Southern",30,5,76,18,8
"2020/07/14 14:00:00","Southern",26,4,99,21,9
"2020/07/14 15:00:00","Southern",41,7,88,19,8
"2020/07/14 16:00:00","Southern",38,6,74,20,15
"2020/07/14 17:00:00","Southern",36,5,50,20,15
"2020/07/14 18:00:00","Southern",37,4,37,16,9
"2020/07/14 19:00:00","Southern",40,4,24,15,2
"2020/07/14 20:00:00","Southern",30,2,20,17,5
"2020/07/14 21:00:00","Southern",27,2,18,14,9
"2020/07/14 22:00:00","Southern",32,3,13,13,10
"2020/07/14 23:00:00","Southern",30,3,13,16,9
"2020/07/15 00:00:00","Southern",30,4,12,18,7
"2020/07/15 01:00:00","Southern",21,2,18,16,6
"2020/07/15 02:00:00","Southern",22,3,18,14,5
"2020/07/15 03:00:00","Southern",17,2,25,10,6
"2020/07/15 04:00:00","Southern",17,3,23,6,6
"2020/07/15 05:00:00","Southern",22,3,22,8,4
"2020/07/15 06:00:00","Southern",31,2,17,11,4
"2020/07/15 07:00:00","Southern",32,2,17,17,6
"2020/07/15 08:00:00","Southern",25,2,22,18,9
"2020/07/15 09:00:00","Southern",33,3,22,13,8
"2020/07/15 10:00:00","Southern",18,2,41,7,5
"2020/07/15 11:00:00","Southern",22,4,53,9,3
"2020/07/15 12:00:00","Southern",29,4,56,17,6
"2020/07/15 13:00:00","Southern",27,6,57,16,9
"2020/07/15 14:00:00","Southern",25,4,52,14,9
"2020/07/15 15:00:00","Southern",25,4,44,13,5
"2020/07/15 16:00:00","Southern",26,3,40,20,4
"2020/07/15 17:00:00","Southern",23,3,38,19,4
"2020/07/15 18:00:00","Southern",28,4,25,14,5
"2020/07/15 19:00:00","Southern",30,4,22,12,7
"2020/07/15 20:00:00","Southern",21,3,29,11,5
"2020/07/15 21:00:00","Southern",25,3,27,11,4
"2020/07/15 22:00:00","Southern",20,3,29,6,3
"2020/07/15 23:00:00","Southern",14,3,30,8,4
"2020/07/16 00:00:00","Southern",27,4,15,14,5
"2020/07/16 01:00:00","Southern",26,4,15,15,6
"2020/07/16 02:00:00","Southern",17,3,23,13,7
"2020/07/16 03:00:00","Southern",21,4,22,10,6
"2020/07/16 04:00:00","Southern",17,2,25,7,5
"2020/07/16 05:00:00","Southern",23,3,18,9,4
"2020/07/16 06:00:00","Southern",26,3,15,9,1
"2020/07/16 07:00:00","Southern",30,4,13,9,3
"2020/07/16 08:00:00","Southern",40,4,9,12,6
"2020/07/16 09:00:00","Southern",30,5,17,19,8
"2020/07/16 10:00:00","Southern",30,5,20,18,8
"2020/07/16 11:00:00","Southern",25,5,28,13,0
"2020/07/16 12:00:00","Southern",17,3,44,13,0
"2020/07/16 13:00:00","Southern",13,2,45,13,0
"2020/07/16 14:00:00","Southern",15,4,40,13,0
"2020/07/16 15:00:00","Southern",20,4,35,13,0
"2020/07/16 16:00:00","Southern",15,3,38,18,3
"2020/07/16 17:00:00","Southern",20,3,34,17,9
"2020/07/16 18:00:00","Southern",21,3,31,12,11
"2020/07/16 19:00:00","Southern",24,3,21,14,8
"2020/07/16 20:00:00","Southern",22,2,21,13,4
"2020/07/16 21:00:00","Southern",22,3,21,12,2
"2020/07/16 22:00:00","Southern",20,3,18,13,6
"2020/07/16 23:00:00","Southern",19,3,19,14,7
"2020/07/17 00:00:00","Southern",20,3,22,14,5
"2020/07/17 01:00:00","Southern",24,3,23,13,2
"2020/07/17 02:00:00","Southern",30,4,17,10,3
"2020/07/17 03:00:00","Southern",9,1,22,11,6
"2020/07/17 04:00:00","Southern",15,2,10,11,6
"2020/07/17 05:00:00","Southern",18,2,10,10,3
"2020/07/17 06:00:00","Southern",21,2,10,13,1
"2020/07/17 07:00:00","Southern",13,1,11,15,2
"2020/07/17 08:00:00","Southern",15,2,12,15,2
"2020/07/17 09:00:00","Southern",16,2,14,9,3
"2020/07/17 10:00:00","Southern",31,4,12,13,6
"2020/07/17 11:00:00","Southern",23,3,25,16,9
"2020/07/17 12:00:00","Southern",17,3,31,13,7
"2020/07/17 13:00:00","Southern",15,2,34,10,2
"2020/07/17 14:00:00","Southern",16,2,37,5,7
"2020/07/17 15:00:00","Southern",12,2,38,5,7
"2020/07/17 16:00:00","Southern",15,2,40,13,1
"2020/07/17 17:00:00","Southern",22,3,31,14,2
"2020/07/17 18:00:00","Southern",26,2,24,16,7
"2020/07/17 19:00:00","Southern",29,2,18,11,9
"2020/07/17 20:00:00","Southern",25,2,19,13,8
"2020/07/17 21:00:00","Southern",29,3,12,14,5
"2020/07/17 22:00:00","Southern",23,4,15,10,0
"2020/07/17 23:00:00","Southern",26,4,10,9,1
"2020/07/18 00:00:00","Southern",19,3,15,10,5
"2020/07/18 01:00:00","Southern",18,2,18,13,7
"2020/07/18 02:00:00","Southern",13,2,22,10,3
"2020/07/18 03:00:00","Southern",10,2,28,9,0
"2020/07/18 04:00:00","Southern",25,4,18,6,1
"2020/07/18 05:00:00","Southern",17,2,26,9,6
"2020/07/18 06:00:00","Southern",23,2,18,10,5
"2020/07/18 07:00:00","Southern",27,2,10,7,4
"2020/07/18 08:00:00","Southern",23,3,12,9,6
"2020/07/18 09:00:00","Southern",25,4,14,8,7
"2020/07/18 10:00:00","Southern",25,4,19,11,7
"2020/07/18 11:00:00","Southern",22,3,27,14,6
"2020/07/18 12:00:00","Southern",13,1,37,17,6
"2020/07/18 13:00:00","Southern",16,2,36,16,6
"2020/07/18 14:00:00","Southern",15,3,41,10,3
"2020/07/18 15:00:00","Southern",14,2,36,9,5
"2020/07/18 16:00:00","Southern",13,2,36,9,5
"2020/07/18 17:00:00","Southern",23,2,29,10,7
"2020/07/18 18:00:00","Southern",28,3,23,13,8
"2020/07/18 19:00:00","Southern",34,4,18,10,8
"2020/07/18 20:00:00","Southern",52,5,8,12,7
"2020/07/18 21:00:00","Southern",32,5,22,15,4
"2020/07/18 22:00:00","Southern",28,4,17,16,5
"2020/07/18 23:00:00","Southern",32,6,8,13,4
"2020/07/19 00:00:00","Southern",22,5,17,9,6
"2020/07/19 01:00:00","Southern",12,3,26,9,8
"2020/07/19 02:00:00","Southern",21,4,21,9,7
"2020/07/19 03:00:00","Southern",21,3,28,10,8
