"date","station","NO2","SO2","O3","RSP","FSP"
"2016/03/16 01:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 02:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 03:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 04:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 05:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 06:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 07:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 08:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 09:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 10:00:00","TseungKwanO",16,2,76,32,28
"2016/03/16 11:00:00","TseungKwanO",15,3,76,32,29
"2016/03/16 12:00:00","TseungKwanO",15,3,78,32,28
"2016/03/16 13:00:00","TseungKwanO",14,3,81,32,26
"2016/03/16 14:00:00","TseungKwanO",16,3,80,36,28
"2016/03/16 15:00:00","TseungKwanO",18,3,81,40,32
"2016/03/16 16:00:00","TseungKwanO",17,2,80,39,32
"2016/03/16 17:00:00","TseungKwanO",22,2,78,39,31
"2016/03/16 18:00:00","TseungKwanO",20,2,79,42,29
"2016/03/16 19:00:00","TseungKwanO",19,2,77,44,31
"2016/03/16 20:00:00","TseungKwanO",20,2,72,44,27
"2016/03/16 21:00:00","TseungKwanO",19,2,70,44,27
"2016/03/16 22:00:00","TseungKwanO",17,2,68,46,29
"2016/03/16 23:00:00","TseungKwanO",16,2,65,46,32
"2016/03/17 00:00:00","TseungKwanO",16,1,66,40,31
"2016/03/17 01:00:00","TseungKwanO",18,1,70,33,28
"2016/03/17 02:00:00","TseungKwanO",12,1,58,28,23
"2016/03/17 03:00:00","TseungKwanO",10,1,63,29,22
"2016/03/17 04:00:00","TseungKwanO",10,1,68,31,25
"2016/03/17 05:00:00","TseungKwanO",9,1,64,29,23
"2016/03/17 06:00:00","TseungKwanO",12,1,61,22,21
"2016/03/17 07:00:00","TseungKwanO",22,1,50,17,18
"2016/03/17 08:00:00","TseungKwanO",30,1,43,17,14
"2016/03/17 09:00:00","TseungKwanO",26,1,43,17,12
"2016/03/17 10:00:00","TseungKwanO",23,1,46,17,12
"2016/03/17 11:00:00","TseungKwanO",23,1,46,18,15
"2016/03/17 12:00:00","TseungKwanO",20,1,62,21,20
"2016/03/17 13:00:00","TseungKwanO",21,1,55,19,17
"2016/03/17 14:00:00","TseungKwanO",23,1,51,16,11
"2016/03/17 15:00:00","TseungKwanO",25,1,49,15,8
"2016/03/17 16:00:00","TseungKwanO",28,2,52,14,10
"2016/03/17 17:00:00","TseungKwanO",31,2,49,12,10
"2016/03/17 18:00:00","TseungKwanO",29,2,54,14,14
"2016/03/17 19:00:00","TseungKwanO",30,2,50,19,17
"2016/03/17 20:00:00","TseungKwanO",28,2,50,22,16
"2016/03/17 21:00:00","TseungKwanO",35,1,41,19,15
"2016/03/17 22:00:00","TseungKwanO",23,2,48,15,11
"2016/03/17 23:00:00","TseungKwanO",29,1,44,20,12
"2016/03/18 00:00:00","TseungKwanO",51,2,21,33,19
"2016/03/18 01:00:00","TseungKwanO",23,2,50,37,23
"2016/03/18 02:00:00","TseungKwanO",16,2,54,34,21
"2016/03/18 03:00:00","TseungKwanO",11,2,59,30,19
"2016/03/18 04:00:00","TseungKwanO",10,2,56,35,20
"2016/03/18 05:00:00","TseungKwanO",10,2,56,38,22
"2016/03/18 06:00:00","TseungKwanO",11,2,57,37,21
"2016/03/18 07:00:00","TseungKwanO",38,3,25,37,17
"2016/03/18 08:00:00","TseungKwanO",54,3,11,37,18
"2016/03/18 09:00:00","TseungKwanO",72,5,4,41,18
"2016/03/18 10:00:00","TseungKwanO",72,5,7,54,19
"2016/03/18 11:00:00","TseungKwanO",29,3,35,62,19
"2016/03/18 12:00:00","TseungKwanO",28,3,38,45,19
"2016/03/18 13:00:00","TseungKwanO",27,2,43,29,30
"2016/03/18 14:00:00","TseungKwanO",33,3,39,31,31
"2016/03/18 15:00:00","TseungKwanO",26,2,47,37,31
"2016/03/18 16:00:00","TseungKwanO",33,2,40,30,31
"2016/03/18 17:00:00","TseungKwanO",29,3,44,31,21
"2016/03/18 18:00:00","TseungKwanO",31,3,42,40,28
"2016/03/18 19:00:00","TseungKwanO",27,3,44,37,29
"2016/03/18 20:00:00","TseungKwanO",34,2,32,32,27
"2016/03/18 21:00:00","TseungKwanO",41,3,24,27,22
"2016/03/18 22:00:00","TseungKwanO",41,3,20,28,18
"2016/03/18 23:00:00","TseungKwanO",38,3,20,27,15
"2016/03/19 00:00:00","TseungKwanO",23,2,38,26,16
"2016/03/19 01:00:00","TseungKwanO",36,2,21,29,20
"2016/03/19 02:00:00","TseungKwanO",47,3,4,29,16
"2016/03/19 03:00:00","TseungKwanO",44,3,2,31,16
"2016/03/19 04:00:00","TseungKwanO",36,4,2,28,17
"2016/03/19 05:00:00","TseungKwanO",33,4,2,28,16
"2016/03/19 06:00:00","TseungKwanO",30,3,2,31,17
"2016/03/19 07:00:00","TseungKwanO",35,4,2,31,18
"2016/03/19 08:00:00","TseungKwanO",42,6,2,29,17
"2016/03/19 09:00:00","TseungKwanO",35,4,12,29,19
"2016/03/19 10:00:00","TseungKwanO",26,6,19,22,18
"2016/03/19 11:00:00","TseungKwanO",25,5,20,19,18
"2016/03/19 12:00:00","TseungKwanO",22,6,26,19,20
"2016/03/19 13:00:00","TseungKwanO",22,6,31,19,20
"2016/03/19 14:00:00","TseungKwanO",25,10,35,22,22
"2016/03/19 15:00:00","TseungKwanO",27,13,35,25,23
"2016/03/19 16:00:00","TseungKwanO",32,14,31,30,30
"2016/03/19 17:00:00","TseungKwanO",32,11,31,30,30
"2016/03/19 18:00:00","TseungKwanO",42,13,22,34,28
"2016/03/19 19:00:00","TseungKwanO",46,11,15,37,32
