"date","station","NO2","SO2","O3","RSP","FSP"
"2014/01/01 01:00:00","TuenMun",156,29,6,177,131
"2014/01/01 02:00:00","TuenMun",147,28,6,182,128
"2014/01/01 03:00:00","TuenMun",138,26,5,171,123
"2014/01/01 04:00:00","TuenMun",136,26,5,173,122
"2014/01/01 05:00:00","TuenMun",144,25,6,174,122
"2014/01/01 06:00:00","TuenMun",131,25,6,187,126
"2014/01/01 07:00:00","TuenMun",123,26,6,173,116
"2014/01/01 08:00:00","TuenMun",122,26,7,147,95
"2014/01/01 09:00:00","TuenMun",116,26,8,132,94
"2014/01/01 10:00:00","TuenMun",111,24,11,121,90
"2014/01/01 11:00:00","TuenMun",103,23,22,104,73
"2014/01/01 12:00:00","TuenMun",95,25,41,99,65
"2014/01/01 13:00:00","TuenMun",108,41,41,90,65
"2014/01/01 14:00:00","TuenMun",91,42,71,86,62
"2014/01/01 15:00:00","TuenMun",106,41,63,85,54
"2014/01/01 16:00:00","TuenMun",136,42,51,98,70
"2014/01/01 17:00:00","TuenMun",146,43,45,125,83
"2014/01/01 18:00:00","TuenMun",176,39,14,118,86
"2014/01/01 19:00:00","TuenMun",184,30,10,118,85
"2014/01/01 20:00:00","TuenMun",163,27,22,111,76
"2014/01/01 21:00:00","TuenMun",182,44,7,111,77
"2014/01/01 22:00:00","TuenMun",192,43,7,118,81
"2014/01/01 23:00:00","TuenMun",190,32,6,122,90
"2014/01/02 00:00:00","TuenMun",169,25,5,133,96
"2014/01/02 01:00:00","TuenMun",NA,21,5,115,90
"2014/01/02 02:00:00","TuenMun",150,17,4,114,89
"2014/01/02 03:00:00","TuenMun",130,14,11,103,84
"2014/01/02 04:00:00","TuenMun",106,9,18,98,79
"2014/01/02 05:00:00","TuenMun",100,11,23,97,76
"2014/01/02 06:00:00","TuenMun",99,11,19,95,78
"2014/01/02 07:00:00","TuenMun",113,13,11,96,80
"2014/01/02 08:00:00","TuenMun",127,16,5,107,83
"2014/01/02 09:00:00","TuenMun",141,19,6,123,91
"2014/01/02 10:00:00","TuenMun",141,19,7,131,102
"2014/01/02 11:00:00","TuenMun",141,19,11,134,95
"2014/01/02 12:00:00","TuenMun",123,20,24,134,94
"2014/01/02 13:00:00","TuenMun",126,39,23,119,78
"2014/01/02 14:00:00","TuenMun",112,31,40,98,66
"2014/01/02 15:00:00","TuenMun",127,39,35,97,63
"2014/01/02 16:00:00","TuenMun",158,48,17,111,70
"2014/01/02 17:00:00","TuenMun",175,51,12,133,87
"2014/01/02 18:00:00","TuenMun",185,57,4,144,99
"2014/01/02 19:00:00","TuenMun",188,55,4,144,95
"2014/01/02 20:00:00","TuenMun",177,52,4,150,99
"2014/01/02 21:00:00","TuenMun",168,80,4,122,85
"2014/01/02 22:00:00","TuenMun",175,83,4,109,68
"2014/01/02 23:00:00","TuenMun",173,58,4,107,73
"2014/01/03 00:00:00","TuenMun",156,43,4,103,69
"2014/01/03 01:00:00","TuenMun",131,18,3,98,70
"2014/01/03 02:00:00","TuenMun",122,14,3,88,60
"2014/01/03 03:00:00","TuenMun",114,12,4,84,52
"2014/01/03 04:00:00","TuenMun",111,20,5,86,63
"2014/01/03 05:00:00","TuenMun",114,18,4,90,67
